[03],[5b],[00],[59],[3b],[37],[ea],[5f],23:07:12:53:58:252
[01],[59],[00],[5a],[ac],[d5],[23],[b3],23:07:12:53:58:289
[02],[5b],[00],[5a],[34],[48],[d2],[4d],23:07:12:53:58:320
[01],[58],[00],[5b],[ad],[d5],[23],[b4],23:07:12:53:58:389
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:420
[02],[5b],[00],[5b],[34],[48],[d1],[4c],23:07:12:53:58:420
[01],[59],[00],[5c],[ad],[d4],[23],[b4],23:07:12:53:58:489
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:521
[02],[5b],[00],[5c],[33],[49],[d1],[4c],23:07:12:53:58:521
[01],[59],[00],[5d],[ae],[d3],[23],[b3],23:07:12:53:58:590
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:621
[02],[5c],[00],[5d],[33],[49],[d2],[4c],23:07:12:53:58:621
[03],[5b],[00],[5d],[3c],[37],[ea],[5e],23:07:12:53:58:652
[01],[59],[00],[5e],[ae],[d4],[23],[b2],23:07:12:53:58:690
[02],[5b],[00],[5e],[33],[48],[d2],[4d],23:07:12:53:58:721
[01],[59],[00],[5f],[af],[d3],[22],[b2],23:07:12:53:58:791
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:824
[02],[5b],[00],[5f],[33],[48],[d2],[4d],23:07:12:53:58:824
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:922
[02],[5b],[00],[60],[34],[48],[d2],[4d],23:07:12:53:58:922
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:58:953
[01],[59],[00],[61],[ae],[d3],[23],[b4],23:07:12:53:58:991
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:59:24
[02],[5b],[00],[61],[34],[48],[d0],[4c],23:07:12:53:59:24
[01],[58],[00],[62],[ae],[d3],[23],[b4],23:07:12:53:59:91
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:59:123
[02],[5c],[00],[62],[34],[48],[d1],[4c],23:07:12:53:59:123
[03],[5b],[00],[62],[3c],[37],[e9],[5e],23:07:12:53:59:154
[01],[59],[00],[63],[ae],[d2],[23],[b4],23:07:12:53:59:192
[02],[5b],[00],[63],[34],[47],[d1],[4d],23:07:12:53:59:223
[01],[59],[00],[64],[ad],[d3],[23],[b4],23:07:12:53:59:292
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:59:323
[02],[5c],[00],[64],[34],[47],[d1],[4c],23:07:12:53:59:323
[03],[5b],[00],[64],[3c],[37],[e9],[5d],23:07:12:53:59:354
