[03],[00],[FF],[00],[00],[00],[00],[00],12:07:22:20:05:898
[02],[59],[00],[55],[a4],[f2],[f8],[55],12:07:22:20:05:898
[03],[5a],[00],[56],[02],[b4],[9f],[1a],12:07:22:20:05:929
[01],[5b],[00],[56],[df],[f7],[06],[79],12:07:22:20:05:961
[02],[5a],[00],[56],[a5],[f2],[f8],[56],12:07:22:20:05:992
[03],[5a],[00],[57],[02],[b4],[9e],[1a],12:07:22:20:06:38
[01],[5b],[00],[57],[df],[f7],[06],[79],12:07:22:20:06:70
[02],[5a],[00],[57],[a5],[f2],[f8],[56],12:07:22:20:06:101
[03],[5a],[00],[58],[02],[b5],[9e],[1a],12:07:22:20:06:133
[01],[5b],[00],[58],[df],[f7],[06],[79],12:07:22:20:06:164
[02],[59],[00],[58],[a5],[f2],[f8],[56],12:07:22:20:06:195
[03],[5a],[00],[59],[02],[b5],[9e],[1a],12:07:22:20:06:226
[01],[5b],[00],[59],[df],[f7],[06],[79],12:07:22:20:06:258
[02],[59],[00],[59],[a5],[f2],[f8],[56],12:07:22:20:06:304
[03],[5a],[00],[5a],[02],[b5],[9e],[1a],12:07:22:20:06:335
[01],[5b],[00],[5a],[df],[f7],[06],[79],12:07:22:20:06:367
[02],[5a],[00],[5a],[a6],[f2],[f9],[57],12:07:22:20:06:398
[03],[5a],[00],[5b],[02],[b5],[9e],[1a],12:07:22:20:06:430
[01],[5b],[00],[5b],[de],[f6],[06],[79],12:07:22:20:06:461
[02],[59],[00],[5b],[a6],[f2],[f9],[57],12:07:22:20:06:492
[03],[5a],[00],[5c],[02],[b5],[9e],[1a],12:07:22:20:06:539
[01],[5c],[00],[5c],[de],[f6],[06],[79],12:07:22:20:06:570
[02],[59],[00],[5c],[a6],[f2],[f9],[57],12:07:22:20:06:601
[03],[5a],[00],[5d],[02],[b6],[9e],[1a],12:07:22:20:06:633
[01],[5c],[00],[5d],[de],[f6],[06],[79],12:07:22:20:06:664
[02],[59],[00],[5d],[a6],[f2],[f9],[58],12:07:22:20:06:695
[03],[5a],[00],[5e],[02],[b6],[9d],[1a],12:07:22:20:06:726
[01],[5c],[00],[5e],[de],[f5],[06],[79],12:07:22:20:06:757
[02],[59],[00],[5e],[a7],[f2],[fa],[58],12:07:22:20:06:804
[03],[5a],[00],[5f],[02],[b6],[9d],[1a],12:07:22:20:06:836
[01],[5b],[00],[5f],[de],[f5],[06],[79],12:07:22:20:06:861
[02],[59],[00],[5f],[a7],[f2],[fa],[58],12:07:22:20:06:893
[03],[5a],[00],[60],[02],[b6],[9d],[1a],12:07:22:20:06:924
[01],[5b],[00],[60],[de],[f5],[07],[79],12:07:22:20:06:971
[02],[59],[00],[60],[a7],[f2],[fa],[58],12:07:22:20:07:03
[03],[5a],[00],[61],[02],[b6],[9d],[1a],12:07:22:20:07:34
[01],[5b],[00],[61],[de],[f6],[07],[79],12:07:22:20:07:66
[02],[5a],[00],[61],[a7],[f2],[fa],[58],12:07:22:20:07:97
[03],[59],[00],[62],[02],[b7],[9d],[1a],12:07:22:20:07:129
[01],[5b],[00],[62],[de],[f5],[07],[79],12:07:22:20:07:160
[02],[59],[00],[62],[a7],[f2],[fa],[59],12:07:22:20:07:191
[03],[5a],[00],[63],[02],[b7],[9d],[1a],12:07:22:20:07:238
