DevID,B,C,nthvalue,1,2,3,4
 [01],[FF],,110,[00],[00],[00],[00]
 [01],[00],[00],111,[12],[45],[b0],[43]
 [02],[00],[00],109,[60],[03],[bf],[ce]
 [03],[00],[00],114,[eb],[44],[57],[39]
 [01],[00],[00],112,[12],[45],[b0],[43]
 [02],[00],[00],110,[60],[03],[c0],[ce]
 [03],[00],[00],115,[eb],[44],[57],[39]
 [01],[00],[00],113,[12],[45],[b0],[43]
 [02],[00],[00],111,[60],[03],[c0],[ce]
 [03],[00],[00],116,[eb],[44],[57],[39]
 [01],[00],[00],114,[13],[45],[b0],[43]
 [02],[00],[00],112,[60],[03],[c0],[ce]
 [03],[00],[00],117,[eb],[44],[57],[39]
 [02],[00],[00],113,[61],[03],[c0],[ce]
 [03],[00],[00],118,[eb],[44],[57],[39]
 [01],[FF],,115,[00],[00],[00],[00]
 [01],[00],[00],116,[12],[45],[b0],[43]
 [03],[00],[00],119,[eb],[44],[57],[39]
 [01],[00],[00],117,[13],[45],[b0],[43]
 [02],[00],[00],114,[61],[03],[c0],[ce]
 [03],[00],[00],120,[eb],[44],[57],[39]
 [01],[00],[00],118,[12],[44],[b0],[43]
 [03],[00],[00],121,[eb],[44],[57],[39]
 [01],[00],[00],119,[12],[44],[b0],[43]
 [02],[00],[00],117,[61],[03],[c1],[ce]
 [03],[00],[00],122,[ec],[44],[57],[39]
 [01],[00],[00],120,[12],[44],[b0],[43]
 [03],[00],[00],123,[ec],[44],[57],[39]
 [01],[00],[00],121,[12],[44],[b1],[43]
 [02],[00],[00],118,[61],[03],[c1],[ce]
 [02],[00],[00],119,[61],[03],[c1],[ce]
 [01],[00],[00],122,[12],[44],[b0],[43]
 [02],[00],[00],120,[61],[03],[c1],[ce]
 [03],[00],[00],125,[ec],[45],[57],[39]
 [01],[00],[00],123,[12],[44],[b0],[43]
 [02],[00],[00],121,[61],[03],[c1],[ce]
 [03],[00],[00],126,[eb],[44],[57],[39]
 [03],[00],[00],127,[eb],[44],[57],[39]
 [01],[FF],,125,[00],[00],[00],[00]
 [01],[FF],,124,[00],[00],[00],[00]
 [01],[FF],,125,[00],[00],[00],[00]
 [01],[00],[00],126,[12],[45],[b0],[43]
 [02],[00],[00],124,[61],[03],[c1],[ce]
 [03],[00],[00],129,[eb],[44],[57],[39]
 [01],[00],[00],127,[12],[45],[b0],[43]
 [03],[00],[00],130,[eb],[44],[57],[39]
 [01],[00],[00],128,[12],[45],[b1],[43]
 [03],[00],[00],131,[eb],[44],[57],[39]
 [01],[00],[00],129,[12],[45],[b1],[43]
 [02],[00],[00],126,[61],[03],[c1],[ce]
 [03],[00],[00],132,[eb],[44],[57],[39]
 [02],[00],[00],127,[61],[03],[c0],[ce]
 [01],[00],[00],130,[12],[45],[b1],[43]
 [03],[00],[00],133,[eb],[44],[57],[39]
 [01],[00],[00],131,[12],[45],[b1],[43]
 [03],[00],[00],134,[eb],[44],[57],[39]
 [01],[00],[00],132,[12],[45],[b1],[43]
 [03],[00],[00],135,[eb],[44],[57],[39]
 [01],[00],[00],133,[12],[45],[b1],[43]
 [02],[00],[00],130,[60],[04],[c0],[ce]
 [03],[00],[00],136,[eb],[44],[57],[39]
 [01],[00],[00],134,[12],[45],[b1],[44]
 [03],[00],[00],137,[eb],[44],[57],[39]
 [01],[00],[00],135,[12],[45],[b1],[44]
 [03],[00],[00],138,[eb],[44],[57],[39]
 [01],[00],[00],136,[12],[45],[b1],[44]
 [02],[00],[00],133,[60],[04],[bf],[ce]
 [03],[00],[00],139,[eb],[44],[57],[39]
 [02],[00],[00],134,[60],[03],[bf],[ce]
 [03],[00],[00],140,[eb],[44],[57],[39]
 [01],[00],[00],137,[12],[45],[b1],[43]
 [02],[00],[00],135,[60],[03],[c0],[ce]
 [03],[00],[00],141,[eb],[44],[57],[39]
 [01],[00],[00],138,[12],[45],[b0],[43]
 [01],[00],[00],139,[12],[45],[b1],[43]
 [02],[00],[00],136,[60],[03],[c0],[ce]
 [03],[00],[00],142,[eb],[44],[57],[39]
 [01],[00],[00],140,[12],[45],[b0],[43]
 [03],[00],[00],143,[eb],[44],[57],[39]
 [02],[00],[00],138,[61],[03],[c0],[ce]
 [03],[00],[00],144,[eb],[44],[57],[39]
 [01],[00],[00],141,[12],[45],[b0],[43]
 [03],[00],[00],145,[eb],[44],[57],[39]
 [01],[00],[00],142,[12],[45],[b0],[43]
 [01],[00],[00],143,[11],[45],[b0],[43]
 [01],[00],[00],144,[11],[45],[b0],[43]
 [02],[00],[00],141,[61],[03],[c0],[ce]
 [03],[00],[00],147,[eb],[44],[57],[39]
 [02],[00],[00],142,[61],[03],[c0],[ce]
 [03],[00],[00],148,[eb],[44],[57],[39]
 [01],[00],[00],145,[11],[45],[b0],[43]
 [03],[00],[00],149,[eb],[44],[57],[39]
 [01],[00],[00],146,[11],[45],[b0],[43]
 [02],[00],[00],143,[61],[03],[c0],[ce]
 [01],[00],[00],147,[11],[45],[b0],[43]
 [02],[00],[00],144,[61],[03],[c0],[ce]
 [03],[00],[00],150,[eb],[44],[57],[39]
 [02],[00],[00],145,[61],[03],[c0],[ce]
 [03],[00],[00],151,[eb],[44],[57],[39]
 [01],[00],[00],148,[12],[45],[b0],[43]
 [03],[00],[00],152,[eb],[44],[57],[39]
 [01],[00],[00],149,[12],[45],[b0],[43]
 [02],[00],[00],146,[60],[03],[c0],[ce]
 [03],[00],[00],153,[eb],[43],[58],[39]
 [01],[00],[00],150,[12],[45],[b0],[43]
 [02],[00],[00],147,[60],[04],[bf],[cf]
 [03],[00],[00],154,[eb],[43],[57],[39]
 [01],[00],[00],151,[12],[45],[b0],[43]
 [01],[00],[00],152,[12],[45],[b0],[43]
 [02],[00],[00],149,[60],[03],[bf],[ce]
 [03],[00],[00],155,[eb],[43],[57],[39]
 [03],[00],[00],156,[eb],[44],[58],[39]
 [01],[00],[00],153,[12],[45],[b0],[43]
 [02],[00],[00],150,[60],[03],[bf],[ce]
 [03],[00],[00],157,[eb],[44],[58],[39]
 [01],[00],[00],154,[12],[45],[b0],[43]
 [02],[00],[00],151,[60],[03],[c0],[ce]
 [03],[00],[00],158,[eb],[44],[58],[39]
 [01],[00],[00],155,[12],[45],[b0],[43]
 [02],[00],[00],152,[60],[03],[c0],[ce]
 [03],[00],[00],159,[eb],[44],[58],[39]
 [02],[00],[00],153,[60],[03],[c0],[ce]
 [03],[00],[00],160,[eb],[43],[58],[39]
 [01],[FF],,156,[00],[00],[00],[00]
 [01],[00],[00],157,[12],[45],[b0],[43]
